Dates,log_inflow
2/3/1946,3.849337707
2/10/1946,3.951151422
2/17/1946,3.866753881
2/24/1946,3.482644947
3/3/1946,3.200182681
3/10/1946,3.055565619
3/17/1946,2.974958192
3/24/1946,3.172173678
3/31/1946,2.961330903
4/7/1946,3.255098753
4/14/1946,3.424997542
4/21/1946,3.275594648
4/28/1946,3.280116061
5/5/1946,3.388676563
5/12/1946,3.133379212
5/19/1946,3.404296501
5/26/1946,3.543628564
6/2/1946,3.18488157
6/9/1946,2.926100533
6/16/1946,2.74369003
6/23/1946,3.157387251
6/30/1946,2.882507462
7/7/1946,3.326806774
7/14/1946,3.767822016
7/21/1946,2.835772985
7/28/1946,2.682731565
8/4/1946,2.833854417
8/11/1946,2.868391663
8/18/1946,2.729577821
8/25/1946,2.799574867
9/1/1946,2.849032246
9/8/1946,2.447778009
9/15/1946,2.953034457
9/22/1946,2.712944181
9/29/1946,2.858567272
10/6/1946,2.751078851
10/13/1946,3.477464212
10/20/1946,3.009552871
10/27/1946,2.730491572
11/3/1946,2.819491291
11/10/1946,2.516165041
11/17/1946,2.506640306
11/24/1946,3.424845716
12/1/1946,2.894615091
12/8/1946,2.597782913
12/15/1946,2.553105939
12/22/1946,2.961914438
12/29/1946,2.934851803
1/5/1947,3.076520295
1/12/1947,3.158971284
1/19/1947,3.853567417
1/26/1947,3.853322147
2/2/1947,3.150928282
2/9/1947,3.132698246
2/16/1947,3.038250477
2/23/1947,3.277535871
3/2/1947,3.32884627
3/9/1947,3.068493842
3/16/1947,3.67972762
3/23/1947,3.199604354
3/30/1947,3.01539329
4/6/1947,3.15810908
4/13/1947,3.282889358
4/20/1947,3.444202551
4/27/1947,3.081559722
5/4/1947,2.840501298
5/11/1947,2.842858762
5/18/1947,2.576249182
5/25/1947,2.753460489
6/1/1947,2.834687684
6/8/1947,2.753629014
6/15/1947,2.543596268
6/22/1947,2.673149978
6/29/1947,2.795615886
7/6/1947,2.799657538
7/13/1947,3.160714572
7/20/1947,2.728191399
7/27/1947,2.649373807
8/3/1947,2.587228147
8/10/1947,3.225146391
8/17/1947,2.585505849
8/24/1947,2.625322742
8/31/1947,2.476672252
9/7/1947,2.063521
9/14/1947,2.209863383
9/21/1947,2.16479882
9/28/1947,3.529013057
10/5/1947,2.631220476
10/12/1947,3.123096684
10/19/1947,3.403123954
10/26/1947,2.971994438
11/2/1947,3.078630791
11/9/1947,3.727529871
11/16/1947,3.982874303
11/23/1947,3.697677359
11/30/1947,3.316538543
12/7/1947,2.830755426
12/14/1947,2.79586612
12/21/1947,3.141803963
12/28/1947,2.776853669
1/4/1948,2.779690266
1/11/1948,2.762701065
1/18/1948,3.72795421
1/25/1948,3.230259834
2/1/1948,3.069745775
2/8/1948,3.676826164
2/15/1948,4.253218025
2/22/1948,3.639544259
2/29/1948,3.429348473
3/7/1948,3.767910956
3/14/1948,3.73337143
3/21/1948,3.333035961
3/28/1948,3.310875911
4/4/1948,3.745703906
4/11/1948,3.478137761
4/18/1948,3.522024082
4/25/1948,3.069316524
5/2/1948,2.900159492
5/9/1948,2.900159492
5/16/1948,2.900159492
5/23/1948,2.900159492
5/30/1948,2.900159492
6/6/1948,3.118185335
6/13/1948,3.028412633
6/20/1948,3.05204336
6/27/1948,2.691452828
7/4/1948,2.865400118
7/11/1948,2.318981064
7/18/1948,3.082857149
7/25/1948,3.035765836
8/1/1948,2.510357312
8/8/1948,3.430273443
8/15/1948,2.91104569
8/22/1948,2.641999309
8/29/1948,2.607572964
9/5/1948,2.002079626
9/12/1948,1.389166084
9/19/1948,1.389166084
9/26/1948,1.298634783
10/3/1948,2.955793546
10/10/1948,3.73204699
10/17/1948,2.785087702
10/24/1948,2.675053914
10/31/1948,2.60853673
11/7/1948,3.21428208
11/14/1948,2.962056645
11/21/1948,3.23700808
11/28/1948,3.812126237
12/5/1948,4.088704731
12/12/1948,3.46414066
12/19/1948,3.333465412
12/26/1948,3.395261725
1/2/1949,3.911658756
1/9/1949,3.797350651
1/16/1949,3.320694522
1/23/1949,3.410832887
1/30/1949,3.289334722
2/6/1949,3.635973058
2/13/1949,3.716626777
2/20/1949,3.571906723
2/27/1949,3.330679545
3/6/1949,3.130221159
3/13/1949,2.941044091
3/20/1949,2.985534248
3/27/1949,3.337928246
4/3/1949,3.054639862
4/10/1949,3.182842459
4/17/1949,3.136511295
4/24/1949,3.082088505
5/1/1949,2.952555138
5/8/1949,3.577095239
5/15/1949,3.54271964
5/22/1949,2.9368303
5/29/1949,2.875495341
6/5/1949,2.709914139
6/12/1949,2.601136134
6/19/1949,2.640590742
6/26/1949,2.475075259
7/3/1949,2.736675317
7/10/1949,2.988723904
7/17/1949,3.705804719
7/24/1949,3.577360802
7/31/1949,2.935854764
8/7/1949,3.196278458
8/14/1949,2.737542483
8/21/1949,3.125429212
8/28/1949,3.248397539
9/4/1949,3.678557528
9/11/1949,2.891197248
9/18/1949,3.190031791
9/25/1949,2.902269482
10/2/1949,2.542750757
10/9/1949,1.40790054
10/16/1949,1.228400359
10/23/1949,1.048441804
10/30/1949,2.005266333
11/6/1949,3.882866488
11/13/1949,3.061290342
11/20/1949,2.910640411
11/27/1949,2.851013607
12/4/1949,2.78488107
12/11/1949,2.508152493
12/18/1949,3.108165722
12/25/1949,2.774918229
1/1/1950,2.916438156
1/8/1950,2.855622114
1/15/1950,2.888207585
1/22/1950,3.420976708
1/29/1950,3.109733745
2/5/1950,3.25089064
2/12/1950,3.290128142
2/19/1950,3.177721144
2/26/1950,3.186541044
3/5/1950,2.84229089
3/12/1950,2.743705702
3/19/1950,2.762678564
3/26/1950,3.488416741
4/2/1950,2.919538305
4/9/1950,2.825737607
4/16/1950,2.711106734
4/23/1950,2.749597195
4/30/1950,2.71238871
5/7/1950,3.297701434
5/14/1950,3.06391853
5/21/1950,3.321950363
5/28/1950,2.818687663
6/4/1950,3.593299362
6/11/1950,2.996783021
6/18/1950,2.423655393
6/25/1950,2.776984327
7/2/1950,3.858807194
7/9/1950,3.827440357
7/16/1950,4.024224109
